,Frame_ID,Global_X,Global_Y,v_size,v_Vel,v_Acc,Movement,Space_Headway,Time_Headway
27764,430,6452394.597,1874289.922,170.94,51.55,0.0,1,76.0,1.47
27765,431,6452395.824,1874291.243,170.94,51.55,0.0,1,80.07,1.55
27766,432,6452396.396,1874287.651,170.94,51.55,0.0,1,79.63,1.54
27767,433,6452396.969,1874284.059,170.94,51.55,0.0,1,79.22,1.54
27768,434,6452397.541,1874280.468,170.94,51.55,0.0,1,78.94,1.53
27769,435,6452398.114,1874276.876,170.94,51.55,0.0,1,74.09,1.44
27770,436,6452398.687,1874273.284,170.94,51.34,-15.84,1,71.17,1.39
27771,437,6452399.259,1874269.692,170.94,51.34,0.0,1,68.7,1.34
27772,438,6452399.832,1874266.1,170.94,42.75,0.0,1,66.97,1.57
27773,439,6452400.401,1874262.499,170.94,36.26,-1.77,1,66.54,1.83
27774,440,6452400.973,1874258.907,170.94,35.99,-3.64,1,66.53,1.85
27775,441,6452401.565,1874255.365,170.94,35.6,-4.55,1,66.37,1.86
27776,442,6452402.18,1874251.888,170.94,35.22,-3.66,1,66.07,1.88
27777,443,6452402.815,1874248.462,170.94,34.97,-1.79,1,66.04,1.89
27778,444,6452403.453,1874245.045,170.94,34.85,-0.33,1,66.16,1.9
27779,445,6452404.087,1874241.618,170.94,34.84,0.16,1,66.55,1.91
27780,446,6452404.721,1874238.191,170.94,34.84,0.08,1,66.65,1.91
27781,447,6452405.355,1874234.764,170.94,34.83,-0.06,1,66.59,1.91
27782,448,6452405.99,1874231.337,170.94,34.85,-0.09,1,66.22,1.9
27783,449,6452406.635,1874227.921,170.94,34.96,0.5,1,65.9,1.89
27784,450,6452407.27,1874224.495,170.94,35.21,1.16,1,65.81,1.87
27785,451,6452407.849,1874221.014,170.94,35.58,1.38,1,65.84,1.85
27786,452,6452408.356,1874217.461,170.94,35.96,0.92,1,66.03,1.84
27787,453,6452408.808,1874213.855,170.94,36.21,-0.28,1,66.29,1.83
27788,454,6452409.249,1874210.239,170.94,36.32,-0.25,1,66.51,1.83
27789,455,6452409.701,1874206.636,170.94,36.33,-0.26,1,66.72,1.84
27790,456,6452410.153,1874203.034,170.94,36.27,-0.7,1,66.93,1.85
27791,457,6452410.605,1874199.433,170.94,36.27,0.29,1,67.17,1.85
27792,458,6452411.056,1874195.834,170.94,36.57,4.99,1,67.42,1.84
27793,459,6452411.522,1874192.292,170.94,36.63,-4.2,1,67.55,1.84
27794,460,6452411.974,1874188.553,170.94,36.22,-12.08,1,67.72,1.87
27795,461,6452412.352,1874184.583,170.94,36.8,-3.92,1,68.06,1.85
27796,462,6452412.634,1874180.408,170.94,38.76,0.0,1,67.63,1.74
27797,463,6452412.841,1874176.004,170.94,41.6,8.77,1,66.83,1.61
27798,464,6452413.034,1874171.4,170.94,43.94,11.16,1,65.55,1.49
27799,465,6452413.242,1874166.853,170.94,43.71,-11.17,1,64.17,1.47
27800,466,6452413.462,1874162.365,170.94,41.28,-11.27,1,63.32,1.53
27801,467,6452413.68,1874158.475,170.94,38.32,-9.85,1,63.11,1.65
27802,468,6452413.826,1874154.864,170.94,36.08,-6.54,1,63.11,1.75
27803,469,6452413.842,1874151.579,170.94,35.62,11.54,1,63.43,1.78
27804,470,6452413.732,1874148.066,170.94,36.92,13.31,1,63.59,1.72
27805,471,6452413.559,1874144.384,170.94,38.77,11.69,1,63.6,1.64
27806,472,6452413.385,1874140.091,170.94,40.06,7.25,1,63.43,1.58
27807,473,6452413.218,1874136.053,170.94,40.47,-2.12,1,63.01,1.56
27808,474,6452413.05,1874132.071,170.94,40.28,-2.6,1,62.55,1.55
27809,475,6452412.883,1874128.058,170.94,40.12,0.3,1,62.1,1.55
27810,476,6452412.715,1874124.045,170.94,40.16,0.47,1,61.99,1.54
27811,477,6452412.548,1874120.031,170.94,40.21,0.34,1,62.91,1.56
27812,478,6452412.38,1874116.018,170.94,38.71,-11.05,1,64.41,1.66
27813,479,6452412.221,1874111.983,170.94,35.06,-8.11,1,66.75,1.9
27814,480,6452412.054,1874107.969,170.94,32.06,0.0,1,69.02,2.15
27815,481,6452411.844,1874104.068,170.94,31.24,14.1,1,71.14,2.28
27816,482,6452411.577,1874100.297,170.94,32.79,14.65,1,72.1,2.2
27817,483,6452411.267,1874096.642,170.94,35.51,11.58,1,72.79,2.05
27818,484,6452410.95,1874093.009,170.94,36.65,-1.08,1,73.17,2.0
27819,485,6452410.64,1874089.358,170.94,36.59,-0.08,1,73.6,2.01
27820,486,6452410.331,1874085.71,170.94,36.58,-0.36,1,73.96,2.02
27821,487,6452410.022,1874082.064,170.94,36.53,-0.59,1,74.31,2.03
27822,488,6452409.712,1874078.421,170.94,36.63,1.76,1,74.75,2.04
27823,489,6452409.397,1874074.813,170.94,37.06,6.7,1,75.23,2.03
27824,490,6452409.088,1874071.151,170.94,37.94,11.18,1,75.61,1.99
27825,491,6452408.81,1874067.3,170.94,39.17,11.17,1,76.08,1.94
27826,492,6452408.571,1874063.332,170.94,45.2,13.71,1,77.15,1.71
27827,493,6452408.363,1874059.178,170.94,52.16,13.42,1,77.8,1.49
27828,494,6452408.16,1874054.964,170.94,52.01,0.0,1,78.19,1.5
27829,495,6452407.952,1874050.783,170.94,51.65,-15.84,1,77.83,1.51
27830,496,6452407.743,1874046.602,170.94,51.37,-15.84,1,77.24,1.5
27831,497,6452407.534,1874042.421,170.94,46.57,0.0,1,76.1,1.63
27832,498,6452407.326,1874038.24,170.94,41.96,0.77,1,75.72,1.8
27833,499,6452407.139,1874034.077,170.94,41.93,-3.42,1,75.55,1.8
27834,500,6452406.91,1874029.811,170.94,41.61,-8.07,1,75.39,1.81
27835,501,6452406.608,1874025.647,170.94,40.99,-11.14,1,75.32,1.84
27836,502,6452406.236,1874021.637,170.94,40.24,-6.37,1,75.41,1.87
27837,503,6452405.754,1874017.702,170.94,39.8,-1.94,1,75.64,1.9
27838,504,6452405.359,1874013.826,170.94,39.83,2.96,1,75.9,1.91
27839,505,6452405.025,1874009.849,170.94,40.14,5.7,1,76.1,1.9
27840,506,6452404.592,1874005.794,170.94,40.44,6.0,1,76.23,1.89
27841,507,6452404.068,1874001.756,170.94,40.46,1.46,1,76.34,1.89
27842,508,6452403.464,1873997.718,170.94,45.12,11.67,1,76.29,1.69
27843,509,6452402.984,1873993.784,170.94,51.35,11.23,1,75.14,1.46
27844,510,6452402.535,1873989.85,170.94,51.32,0.0,1,73.34,1.43
27845,511,6452401.89,1873985.837,170.94,51.3,-15.84,1,71.06,1.39
27846,512,6452401.12,1873981.782,170.94,51.33,0.0,1,68.95,1.34
27847,513,6452400.206,1873977.808,170.94,45.33,-8.75,1,67.35,1.49
27848,514,6452399.308,1873973.912,170.94,40.34,-1.52,1,66.99,1.66
27849,515,6452398.436,1873969.978,170.94,40.25,0.64,1,67.32,1.67
27850,516,6452397.559,1873966.048,170.94,40.24,0.2,1,67.86,1.69
27851,517,6452396.683,1873962.12,170.94,40.24,0.06,1,68.69,1.71
27852,518,6452395.807,1873958.192,170.94,40.23,0.29,1,69.23,1.72
27853,519,6452394.931,1873954.265,170.94,40.24,-1.64,1,69.6,1.73
27854,520,6452394.085,1873950.338,170.94,40.3,-5.89,1,69.53,1.73
27855,521,6452393.194,1873946.413,170.94,40.46,-10.54,1,69.51,1.72
27856,522,6452392.12,1873942.497,170.94,40.7,-10.7,1,69.39,1.7
27857,523,6452390.936,1873938.593,170.94,40.98,-10.54,1,69.12,1.69
27858,524,6452389.569,1873934.697,170.94,41.19,6.26,1,68.8,1.67
27859,525,6452388.156,1873930.805,170.94,41.3,1.71,1,68.51,1.66
27860,526,6452386.774,1873926.912,170.94,41.31,-0.43,1,68.31,1.65
27861,527,6452385.393,1873923.021,170.94,41.29,-0.42,1,68.2,1.65
27862,528,6452384.012,1873919.131,170.94,41.27,-0.24,1,68.13,1.65
27863,529,6452382.631,1873915.243,170.94,41.25,0.45,1,68.08,1.65
27864,530,6452381.263,1873911.35,170.94,42.77,11.44,1,68.05,1.59
27865,531,6452379.883,1873907.464,170.94,46.33,11.38,1,67.54,1.46
27866,532,6452378.441,1873903.616,170.94,48.81,11.11,1,66.74,1.37
27867,533,6452376.915,1873899.817,170.94,48.71,-12.09,1,65.55,1.35
27868,534,6452375.326,1873896.055,170.94,46.05,-12.08,1,64.61,1.4
27869,535,6452373.725,1873892.302,170.94,42.38,-11.36,1,63.9,1.51
27870,536,6452372.138,1873888.542,170.94,40.8,-0.26,1,63.71,1.56
27871,537,6452370.55,1873884.784,170.94,40.8,-0.12,1,63.85,1.56
27872,538,6452368.964,1873881.027,170.94,40.82,0.27,1,65.07,1.59
27873,539,6452367.377,1873877.271,170.94,40.74,-1.34,1,66.85,1.64
27874,540,6452365.788,1873873.49,170.94,40.37,-5.2,1,68.97,1.71
27875,541,6452364.203,1873869.736,170.94,39.63,-9.64,1,70.77,1.79
27876,542,6452362.636,1873866.159,170.94,38.56,-10.75,1,72.08,1.87
27877,543,6452361.091,1873862.679,170.94,37.51,-9.53,1,72.38,1.93
27878,544,6452359.565,1873859.375,170.94,36.77,-5.05,1,72.55,1.97
27879,545,6452358.041,1873856.096,170.94,36.43,-1.2,1,72.8,2.0
27880,546,6452356.515,1873852.791,170.94,36.36,0.4,1,73.07,2.01
27881,547,6452354.988,1873849.487,170.94,36.38,-0.18,1,73.33,2.02
27882,548,6452353.461,1873846.182,170.94,36.37,-0.17,1,73.6,2.02
27883,549,6452351.934,1873842.877,170.94,36.45,1.59,1,73.87,2.03
27884,550,6452350.431,1873839.592,170.94,36.72,4.18,1,74.13,2.02
27885,551,6452348.87,1873836.267,170.94,37.18,5.66,1,74.35,2.0
27886,552,6452347.228,1873832.887,170.94,37.65,4.04,1,74.5,1.98
27887,553,6452345.628,1873829.419,170.94,38.01,1.79,1,74.6,1.96
27888,554,6452344.096,1873825.909,170.94,43.49,15.84,1,74.38,1.71
27889,555,6452342.544,1873822.454,170.94,51.41,15.84,1,73.05,1.42
27890,556,6452340.83,1873818.963,170.94,51.39,0.0,1,71.13,1.38
27891,557,6452338.932,1873815.436,170.94,51.3,-15.84,1,68.87,1.34
27892,558,6452337.23,1873811.956,170.94,51.37,0.0,1,66.98,1.3
27893,559,6452335.688,1873808.509,170.94,42.82,0.0,1,65.51,1.53
27894,560,6452334.165,1873805.154,170.94,37.77,1.21,1,64.69,1.71
27895,561,6452332.486,1873801.759,170.94,37.95,3.29,1,63.84,1.68
27896,562,6452330.789,1873798.29,170.94,38.19,3.18,1,62.66,1.64
27897,563,6452329.234,1873794.805,170.94,38.2,-1.52,1,61.88,1.62
27898,564,6452327.675,1873791.301,170.94,37.9,-6.29,1,61.59,1.63
27899,565,6452326.018,1873787.871,170.94,37.49,-6.39,1,62.01,1.65
27900,566,6452324.308,1873784.591,170.94,37.12,-3.07,1,62.93,1.7
27901,567,6452322.681,1873781.328,170.94,37.02,2.04,1,64.21,1.73
27902,568,6452321.141,1873777.975,170.94,37.18,3.15,1,65.32,1.76
27903,569,6452319.486,1873774.604,170.94,37.45,2.23,1,66.14,1.77
27904,570,6452317.784,1873771.232,170.94,37.68,1.78,1,66.74,1.77
27905,571,6452316.089,1873767.889,170.94,37.77,2.96,1,66.94,1.77
27906,572,6452314.421,1873764.461,170.94,37.67,-1.76,1,67.47,1.79
27907,573,6452312.852,1873760.989,170.94,37.51,-3.11,1,68.14,1.82
27908,574,6452311.221,1873757.71,170.94,37.36,-1.68,1,69.13,1.85
27909,575,6452309.501,1873754.39,170.94,37.3,3.03,1,69.82,1.87
27910,576,6452307.858,1873751.016,170.94,36.56,-10.5,1,70.23,1.92
27911,577,6452306.323,1873747.615,170.94,32.92,-12.17,1,70.79,2.15
27912,578,6452304.79,1873744.219,170.94,27.43,-15.84,1,71.52,2.61
27913,579,6452303.184,1873740.993,170.94,24.88,-12.11,1,72.19,2.9
27914,580,6452301.5,1873737.697,170.94,27.52,0.0,1,72.55,2.64
27915,581,6452299.808,1873734.075,170.94,34.62,11.04,1,72.27,2.09
27916,582,6452298.086,1873730.173,170.94,42.42,11.97,1,71.14,1.68
27917,583,6452296.216,1873725.978,170.94,46.46,12.12,1,69.71,1.5
27918,584,6452294.296,1873721.487,170.94,46.89,-5.43,1,68.09,1.45
27919,585,6452292.362,1873716.822,170.94,45.21,-11.24,1,67.01,1.48
27920,586,6452290.722,1873712.841,170.94,42.22,-14.46,1,66.29,1.57
27921,587,6452289.251,1873709.192,170.94,38.58,-15.84,1,65.95,1.71
27922,588,6452287.631,1873705.914,170.94,34.15,0.0,1,66.09,1.94
27923,589,6452285.774,1873702.655,170.94,28.74,-10.24,1,66.73,2.32
27924,590,6452284.565,1873700.723,170.94,23.03,-12.35,1,67.86,2.95
27925,591,6452283.598,1873699.178,170.94,19.02,-14.05,1,69.39,3.65
27926,592,6452283.005,1873697.924,170.94,19.19,9.08,1,71.35,3.72
27927,593,6452282.252,1873696.382,170.94,23.84,11.67,1,72.82,3.05
27928,594,6452281.261,1873694.173,170.94,30.76,11.36,1,73.82,2.4
27929,595,6452279.589,1873690.628,170.94,37.21,11.33,1,74.26,2.0
27930,596,6452277.811,1873686.716,170.94,41.29,11.27,1,74.15,1.8
27931,597,6452276.033,1873682.804,170.94,42.79,3.67,1,73.56,1.72
27932,598,6452274.255,1873678.892,170.94,42.93,-1.19,1,72.89,1.7
27933,599,6452272.477,1873674.981,170.94,41.07,-11.67,1,72.33,1.76
27934,600,6452270.681,1873671.03,170.94,36.86,-6.61,1,72.27,1.96
27935,601,6452268.902,1873667.179,170.94,33.22,0.0,1,72.43,2.18
27936,602,6452267.217,1873663.527,170.94,31.7,10.93,1,72.85,2.3
27937,603,6452265.653,1873660.019,170.94,32.67,11.95,1,73.24,2.24
27938,604,6452264.182,1873656.711,170.94,34.95,11.22,1,73.62,2.11
27939,605,6452262.729,1873653.503,170.94,35.78,-2.99,1,73.4,2.05
27940,606,6452261.258,1873650.256,170.94,35.6,0.32,1,73.21,2.06
27941,607,6452259.786,1873647.009,170.94,35.62,0.41,1,72.78,2.04
27942,608,6452258.315,1873643.762,170.94,35.65,-0.13,1,72.36,2.03
27943,609,6452256.844,1873640.515,170.94,35.64,0.3,1,72.12,2.02
27944,610,6452255.38,1873637.261,170.94,35.61,1.55,1,71.99,2.02
27945,611,6452253.909,1873634.014,170.94,35.51,3.15,1,71.77,2.02
27946,612,6452252.401,1873630.801,170.94,35.37,3.93,1,71.55,2.02
27947,613,6452250.845,1873627.636,170.94,35.24,3.16,1,71.32,2.02
27948,614,6452249.253,1873624.506,170.94,35.15,1.53,1,70.98,2.02
27949,615,6452247.654,1873621.383,170.94,35.12,0.28,1,70.52,2.01
27950,616,6452246.062,1873618.253,170.94,35.11,-0.13,1,70.02,1.99
27951,617,6452244.47,1873615.123,170.94,35.1,-0.22,1,69.52,1.98
27952,618,6452242.878,1873611.993,170.94,35.11,0.41,1,69.04,1.97
27953,619,6452241.286,1873608.863,170.94,35.25,1.91,1,68.5,1.94
27954,620,6452239.689,1873605.767,170.94,35.36,-3.05,1,67.85,1.92
27955,621,6452238.063,1873602.556,170.94,35.17,-6.33,1,67.13,1.91
27956,622,6452236.547,1873599.292,170.94,34.5,-10.89,1,66.42,1.93
27957,623,6452235.152,1873596.209,170.94,33.46,-11.36,1,65.8,1.97
27958,624,6452233.801,1873593.229,170.94,32.53,-7.24,1,65.26,2.01
27959,625,6452232.47,1873590.422,170.94,31.37,-11.72,1,64.7,2.06
27960,626,6452231.122,1873587.497,170.94,29.64,-11.49,1,64.33,2.17
27961,627,6452229.913,1873584.506,170.94,28.39,-10.79,1,64.01,2.25
27962,628,6452228.721,1873581.557,170.94,28.1,9.0,1,63.86,2.27
27963,629,6452227.408,1873578.72,170.94,28.8,12.28,1,63.58,2.21
27964,630,6452226.071,1873575.944,170.94,29.96,6.92,1,63.14,2.11
27965,631,6452224.787,1873573.176,170.94,30.31,-6.75,1,62.57,2.06
27966,632,6452223.643,1873570.423,170.94,30.03,-4.01,1,62.88,2.09
27967,633,6452222.564,1873567.603,170.94,29.64,-3.93,1,63.56,2.14
27968,634,6452221.419,1873564.849,170.94,29.11,-4.87,1,64.56,2.22
27969,635,6452220.203,1873562.248,170.94,28.45,-6.54,1,65.27,2.29
27970,636,6452219.002,1873559.731,170.94,27.82,-5.69,1,65.63,2.36
27971,637,6452217.805,1873557.255,170.94,27.35,-3.9,1,65.25,2.39
27972,638,6452216.626,1873554.822,170.94,26.93,-4.31,1,64.62,2.4
27973,639,6452215.464,1873552.401,170.94,26.43,-7.02,1,64.02,2.42
27974,640,6452214.328,1873549.999,170.94,25.79,-9.31,1,63.49,2.46
27975,641,6452213.358,1873547.677,170.94,24.98,-9.67,1,62.99,2.52
27976,642,6452212.454,1873545.364,170.94,24.21,-7.49,1,62.53,2.58
27977,643,6452211.573,1873543.188,170.94,23.67,-4.14,1,62.11,2.62
27978,644,6452210.714,1873541.065,170.94,23.37,-0.17,1,61.7,2.64
27979,645,6452209.856,1873538.866,170.94,23.29,4.42,1,61.27,2.63
27980,646,6452208.959,1873536.726,170.94,23.36,7.56,1,60.75,2.6
27981,647,6452207.975,1873534.622,170.94,23.44,7.42,1,60.13,2.57
27982,648,6452206.879,1873532.519,170.94,23.4,2.31,1,59.41,2.54
27983,649,6452205.716,1873530.455,170.94,23.01,-6.83,1,58.7,2.55
27984,650,6452204.647,1873528.388,170.94,22.19,-12.57,1,58.07,2.62
27985,651,6452203.716,1873526.413,170.94,21.21,-11.56,1,57.53,2.71
27986,652,6452202.955,1873524.56,170.94,20.45,-5.66,1,57.0,2.79
27987,653,6452202.217,1873522.734,170.94,20.09,3.88,1,56.42,2.81
27988,654,6452201.326,1873520.936,170.94,19.95,4.31,1,55.78,2.8
27989,655,6452200.408,1873519.118,170.94,19.71,-3.99,1,55.11,2.8
27990,656,6452199.501,1873517.358,170.94,19.17,-7.31,1,54.46,2.84
27991,657,6452198.629,1873515.685,170.94,18.49,-7.26,1,53.88,2.91
27992,658,6452197.808,1873514.105,170.94,21.62,10.9,1,53.24,2.46
27993,659,6452197.02,1873512.563,170.94,29.81,10.56,1,51.69,1.73
27994,660,6452196.328,1873510.928,170.94,35.66,8.54,1,49.67,1.39
27995,661,6452195.746,1873509.333,170.94,35.47,-13.6,1,47.26,1.33
27996,662,6452195.1,1873507.813,170.94,29.18,-11.65,1,45.16,1.55
27997,663,6452194.356,1873506.302,170.94,20.34,-10.71,1,43.5,2.14
27998,664,6452193.509,1873504.813,170.94,16.15,-5.8,1,42.6,2.64
27999,665,6452192.629,1873503.449,170.94,15.43,-9.18,1,41.88,2.71
28000,666,6452191.881,1873502.205,170.94,14.7,-9.41,1,41.19,2.8
