,Frame_ID,Global_X,Global_Y,v_size,v_Vel,v_Acc,Movement,Space_Headway,Time_Headway
89825,1551,6451975.798,1872832.734,99.96,6.28,0.0,3,0.0,0.0
89826,1552,6451975.596,1872833.592,99.96,6.28,0.0,3,0.0,0.0
89827,1553,6451975.395,1872834.449,99.96,6.28,0.0,3,0.0,0.0
89828,1554,6451975.194,1872835.303,99.96,6.28,0.0,3,0.0,0.0
89829,1555,6451974.995,1872836.157,99.96,6.28,0.0,3,0.0,0.0
89830,1556,6451974.796,1872837.008,99.96,6.28,-8.9,3,0.0,0.0
89831,1557,6451974.598,1872837.858,99.96,6.21,8.36,3,0.0,0.0
89832,1558,6451974.4,1872838.706,99.96,6.82,11.19,3,0.0,0.0
89833,1559,6451974.204,1872839.552,99.96,7.82,11.2,3,0.0,0.0
89834,1560,6451974.008,1872840.397,99.96,8.49,3.28,3,0.0,0.0
89835,1561,6451973.812,1872841.24,99.96,8.65,-0.2,3,0.0,0.0
89836,1562,6451973.618,1872842.081,99.96,8.62,-0.18,3,0.0,0.0
89837,1563,6451973.424,1872842.92,99.96,8.6,-0.19,3,0.0,0.0
89838,1564,6451973.23,1872843.758,99.96,8.58,-0.2,3,0.0,0.0
89839,1565,6451973.037,1872844.593,99.96,8.57,-0.19,3,0.0,0.0
89840,1566,6451972.844,1872845.427,99.96,8.56,0.03,3,0.0,0.0
89841,1567,6451972.652,1872846.259,99.96,8.57,0.23,3,0.0,0.0
89842,1568,6451972.461,1872847.09,99.96,8.5,-1.16,3,0.0,0.0
89843,1569,6451972.26,1872847.94,99.96,8.18,-4.91,3,0.0,0.0
89844,1570,6451972.069,1872848.768,99.96,7.47,-9.55,3,0.0,0.0
89845,1571,6451971.925,1872849.466,99.96,6.47,-11.75,3,0.0,0.0
89846,1572,6451971.843,1872850.041,99.96,5.48,-9.43,3,0.0,0.0
89847,1573,6451971.807,1872850.488,99.96,4.8,-4.72,3,0.0,0.0
89848,1574,6451971.781,1872850.914,99.96,4.5,-0.96,3,0.0,0.0
89849,1575,6451971.745,1872851.362,99.96,4.46,0.4,3,0.0,0.0
89850,1576,6451971.709,1872851.811,99.96,4.5,0.42,3,0.0,0.0
89851,1577,6451971.673,1872852.259,99.96,4.54,0.42,3,0.0,0.0
89852,1578,6451971.638,1872852.707,99.96,4.47,-1.31,3,0.0,0.0
89853,1579,6451971.6,1872853.181,99.96,4.11,-5.43,3,0.0,0.0
89854,1580,6451971.564,1872853.63,99.96,3.35,-10.17,3,0.0,0.0
89855,1581,6451971.539,1872853.903,99.96,2.25,-12.47,3,0.0,0.0
89856,1582,6451971.528,1872854.078,99.96,1.15,-10.16,3,0.0,0.0
89857,1583,6451971.528,1872854.077,99.96,0.39,-5.41,3,0.0,0.0
89858,1584,6451971.53,1872854.051,99.96,0.0,-1.02,3,0.0,0.0
89859,1585,6451971.53,1872854.051,99.96,0.04,-0.42,3,0.0,0.0
89860,1586,6451971.53,1872854.051,99.96,0.0,0.17,3,0.0,0.0
89861,1587,6451971.53,1872854.051,99.96,0.0,0.0,3,0.0,0.0
89862,1588,6451971.53,1872854.051,99.96,0.0,0.0,3,0.0,0.0
89863,1589,6451971.53,1872854.051,99.96,0.0,0.0,3,0.0,0.0
89864,1590,6451971.53,1872854.051,99.96,0.0,0.0,3,0.0,0.0
89865,1591,6451971.53,1872854.051,99.96,0.0,0.0,3,0.0,0.0
89866,1592,6451971.53,1872854.051,99.96,0.0,0.0,3,0.0,0.0
89867,1593,6451971.53,1872854.051,99.96,0.0,0.0,3,0.0,0.0
89868,1594,6451971.53,1872854.051,99.96,0.0,0.0,3,0.0,0.0
89869,1595,6451971.53,1872854.051,99.96,0.0,0.0,3,0.0,0.0
