,Frame_ID,Global_X,Global_Y,v_size,v_Vel,v_Acc,Movement,Space_Headway,Time_Headway
129848,2036,6452401.049,1874307.871,126.16,51.33,0.0,1,156.02,3.04
129849,2037,6452402.383,1874302.32,126.16,51.33,0.0,1,154.26,3.01
129850,2038,6452403.717,1874296.77,126.16,51.33,0.0,1,152.67,2.97
129851,2039,6452405.05,1874291.22,126.16,51.33,0.0,1,151.3,2.95
129852,2040,6452406.384,1874285.67,126.16,51.33,0.0,1,150.09,2.92
129853,2041,6452407.718,1874280.12,126.16,51.33,0.0,1,145.52,2.84
129854,2042,6452409.051,1874274.57,126.16,51.39,0.0,1,142.16,2.77
129855,2043,6452410.384,1874269.021,126.16,52.04,0.0,1,139.18,2.67
129856,2044,6452411.746,1874263.457,126.16,52.88,0.0,1,136.81,2.59
129857,2045,6452413.07,1874257.908,126.16,53.04,-12.31,1,135.48,2.55
129858,2046,6452414.213,1874252.435,126.16,52.76,-13.2,1,134.54,2.55
129859,2047,6452415.251,1874247.063,126.16,52.5,-12.31,1,133.36,2.54
129860,2048,6452416.108,1874241.766,126.16,52.33,-6.62,1,132.13,2.52
129861,2049,6452416.927,1874236.485,126.16,52.25,-1.68,1,130.62,2.5
129862,2050,6452417.774,1874231.188,126.16,52.23,0.54,1,129.38,2.48
129863,2051,6452418.621,1874225.891,126.16,52.24,0.63,1,128.24,2.45
129864,2052,6452419.469,1874220.594,126.16,52.24,3.56,1,127.43,2.44
129865,2053,6452420.338,1874215.342,126.16,52.19,9.06,1,126.54,2.42
129866,2054,6452421.186,1874209.959,126.16,52.08,7.77,1,125.5,2.41
129867,2055,6452421.914,1874204.367,126.16,51.94,5.4,1,124.31,2.39
129868,2056,6452422.515,1874198.612,126.16,51.8,3.2,1,123.0,2.37
129869,2057,6452422.996,1874192.648,126.16,51.66,-11.39,1,121.49,2.35
129870,2058,6452423.481,1874186.537,126.16,51.5,-12.15,1,119.97,2.33
129871,2059,6452423.964,1874180.486,126.16,51.37,-11.36,1,118.38,2.3
129872,2060,6452424.285,1874174.524,126.16,51.31,-12.89,1,117.67,2.29
129873,2061,6452424.501,1874168.678,126.16,51.3,-4.92,1,117.5,2.29
129874,2062,6452424.558,1874163.063,126.16,51.32,-9.87,1,117.94,2.3
129875,2063,6452424.611,1874158.127,126.16,48.66,-9.59,1,118.36,2.43
129876,2064,6452424.642,1874153.558,126.16,46.24,-5.83,1,118.64,2.57
129877,2065,6452424.504,1874149.308,126.16,46.28,15.84,1,118.54,2.56
129878,2066,6452424.26,1874144.744,126.16,48.69,15.84,1,117.75,2.42
129879,2067,6452423.85,1874139.829,126.16,51.64,12.89,1,116.72,2.26
129880,2068,6452423.414,1874134.144,126.16,51.68,11.22,1,115.49,2.23
129881,2069,6452423.007,1874128.506,126.16,51.67,-8.19,1,113.91,2.2
129882,2070,6452422.628,1874123.083,126.16,51.64,-11.76,1,112.52,2.18
129883,2071,6452422.283,1874117.836,126.16,50.78,-11.19,1,111.36,2.19
129884,2072,6452421.966,1874112.805,126.16,47.33,-6.33,1,110.52,2.34
129885,2073,6452421.654,1874107.927,126.16,45.08,0.0,1,109.9,2.44
129886,2074,6452421.336,1874103.0,126.16,44.84,15.55,1,109.62,2.44
129887,2075,6452421.019,1874098.075,126.16,46.35,13.02,1,109.23,2.36
129888,2076,6452420.701,1874093.149,126.16,48.42,11.26,1,109.55,2.26
129889,2077,6452420.384,1874088.224,126.16,49.36,0.94,1,109.98,2.23
129890,2078,6452420.061,1874083.322,126.16,49.66,4.58,1,110.79,2.23
129891,2079,6452419.743,1874078.398,126.16,50.3,9.03,1,111.22,2.21
129892,2080,6452419.452,1874073.341,126.16,51.25,11.16,1,111.15,2.17
129893,2081,6452419.196,1874068.164,126.16,52.18,9.01,1,110.13,2.11
129894,2082,6452418.966,1874062.854,126.16,52.29,11.2,1,108.66,2.08
129895,2083,6452418.74,1874057.522,126.16,52.16,3.84,1,106.45,2.04
129896,2084,6452418.51,1874052.213,126.16,51.81,0.0,1,103.79,2.0
129897,2085,6452418.28,1874046.904,126.16,51.46,-15.84,1,100.76,1.96
129898,2086,6452418.049,1874041.594,126.16,51.31,-15.84,1,98.04,1.91
129899,2087,6452417.819,1874036.285,126.16,51.32,-5.67,1,95.72,1.87
129900,2088,6452417.606,1874030.927,126.16,51.33,-11.35,1,94.11,1.83
129901,2089,6452417.376,1874025.725,126.16,50.83,-13.89,1,92.86,1.83
129902,2090,6452417.057,1874020.74,126.16,49.11,-15.07,1,91.75,1.87
129903,2091,6452416.622,1874015.932,126.16,47.39,-7.62,1,90.82,1.92
129904,2092,6452416.098,1874011.341,126.16,46.11,-9.73,1,90.04,1.95
129905,2093,6452415.557,1874006.907,126.16,45.36,-4.1,1,89.39,1.97
129906,2094,6452415.034,1874002.426,126.16,45.09,-0.36,1,88.7,1.97
129907,2095,6452414.51,1873997.945,126.16,48.59,12.09,1,87.75,1.81
129908,2096,6452413.987,1873993.465,126.16,51.34,11.21,1,85.93,1.67
129909,2097,6452413.463,1873988.986,126.16,51.31,0.0,1,83.68,1.63
129910,2098,6452412.98,1873984.514,126.16,51.32,0.0,1,81.11,1.58
129911,2099,6452412.394,1873980.037,126.16,51.42,0.0,1,78.8,1.53
129912,2100,6452411.608,1873975.528,126.16,49.55,-11.23,1,77.19,1.56
129913,2101,6452410.678,1873970.976,126.16,46.68,-9.0,1,76.56,1.64
129914,2102,6452409.547,1873966.391,126.16,47.11,-6.88,1,76.17,1.62
129915,2103,6452408.314,1873961.801,126.16,47.32,-2.59,1,75.7,1.6
129916,2104,6452407.121,1873957.218,126.16,47.38,-0.18,1,75.03,1.58
129917,2105,6452405.928,1873952.636,126.16,47.36,0.6,1,74.35,1.57
129918,2106,6452404.735,1873948.054,126.16,47.37,0.58,1,73.85,1.56
129919,2107,6452403.543,1873943.473,126.16,47.32,-1.86,1,73.5,1.55
129920,2108,6452402.377,1873938.867,126.16,47.07,-7.62,1,73.18,1.55
129921,2109,6452401.185,1873934.287,126.16,46.55,-12.89,1,72.86,1.57
129922,2110,6452399.816,1873929.876,126.16,45.85,8.0,1,72.61,1.58
129923,2111,6452398.35,1873925.566,126.16,45.19,9.16,1,72.45,1.6
129924,2112,6452396.707,1873921.426,126.16,44.74,5.83,1,72.38,1.62
129925,2113,6452395.039,1873917.312,126.16,44.53,1.36,1,72.35,1.62
129926,2114,6452393.398,1873913.174,126.16,44.49,-0.52,1,72.31,1.63
129927,2115,6452391.757,1873909.037,126.16,45.64,11.2,1,72.29,1.58
129928,2116,6452390.116,1873904.902,126.16,48.25,10.69,1,71.93,1.49
129929,2117,6452388.476,1873900.767,126.16,49.96,0.0,1,71.5,1.43
129930,2118,6452386.767,1873896.627,126.16,49.61,-15.84,1,70.92,1.43
129931,2119,6452385.268,1873892.502,126.16,47.38,0.0,1,70.77,1.49
129932,2120,6452383.906,1873888.416,126.16,44.65,-10.61,1,70.85,1.59
129933,2121,6452382.599,1873884.329,126.16,43.81,-4.88,1,71.51,1.63
129934,2122,6452381.075,1873880.206,126.16,44.35,-8.96,1,72.88,1.64
129935,2123,6452379.425,1873875.999,126.16,44.69,-9.22,1,74.59,1.67
129936,2124,6452377.561,1873871.822,126.16,44.64,2.63,1,76.65,1.72
129937,2125,6452375.801,1873867.777,126.16,44.41,-1.3,1,78.49,1.77
129938,2126,6452374.071,1873863.772,126.16,44.46,4.89,1,79.99,1.8
129939,2127,6452372.283,1873859.734,126.16,44.92,8.3,1,80.61,1.79
129940,2128,6452370.337,1873855.607,126.16,45.47,5.35,1,81.02,1.78
129941,2129,6452368.341,1873851.433,126.16,45.8,-1.2,1,81.43,1.78
129942,2130,6452366.415,1873847.272,126.16,45.85,-1.65,1,81.94,1.79
129943,2131,6452364.564,1873843.093,126.16,45.84,2.64,1,82.57,1.8
129944,2132,6452362.667,1873838.925,126.16,46.0,5.93,1,83.23,1.81
129945,2133,6452360.658,1873834.816,126.16,46.29,5.46,1,83.87,1.81
129946,2134,6452358.571,1873830.635,126.16,46.62,3.3,1,84.49,1.81
129947,2135,6452356.505,1873826.411,126.16,46.86,1.41,1,85.14,1.82
129948,2136,6452354.443,1873822.207,126.16,50.73,12.74,1,85.82,1.69
129949,2137,6452352.374,1873817.972,126.16,51.45,11.53,1,85.63,1.66
129950,2138,6452350.312,1873813.768,126.16,51.37,0.0,1,84.78,1.65
129951,2139,6452348.281,1873809.566,126.16,51.3,-15.84,1,83.39,1.63
129952,2140,6452346.189,1873805.358,126.16,51.39,0.0,1,82.69,1.61
129953,2141,6452343.968,1873801.143,126.16,51.37,0.0,1,82.56,1.61
129954,2142,6452341.692,1873796.894,126.16,47.92,3.24,1,83.66,1.75
129955,2143,6452339.457,1873792.624,126.16,48.0,6.09,1,84.6,1.76
129956,2144,6452337.349,1873788.352,126.16,48.11,5.36,1,85.31,1.77
129957,2145,6452335.287,1873784.022,126.16,48.28,3.25,1,85.71,1.78
129958,2146,6452333.178,1873779.623,126.16,48.44,1.29,1,85.67,1.77
129959,2147,6452331.073,1873775.244,126.16,48.53,-0.19,1,85.9,1.77
129960,2148,6452328.971,1873770.874,126.16,48.63,1.31,1,86.32,1.77
129961,2149,6452326.873,1873766.523,126.16,48.82,2.86,1,86.91,1.78
129962,2150,6452324.757,1873762.097,126.16,49.05,2.63,1,87.76,1.79
129963,2151,6452322.658,1873757.619,126.16,49.34,2.62,1,88.54,1.79
129964,2152,6452320.481,1873753.191,126.16,49.87,6.62,1,88.97,1.78
129965,2153,6452318.252,1873748.809,126.16,49.84,6.34,1,89.09,1.79
129966,2154,6452316.08,1873744.15,126.16,48.53,-11.08,1,89.09,1.84
129967,2155,6452313.901,1873739.3,126.16,47.52,-13.65,1,89.5,1.88
129968,2156,6452311.693,1873734.228,126.16,48.49,0.0,1,90.06,1.86
129969,2157,6452309.36,1873728.909,126.16,51.43,0.0,1,90.57,1.76
129970,2158,6452306.929,1873723.485,126.16,51.33,6.56,1,90.63,1.77
129971,2159,6452304.541,1873718.1,126.16,51.31,-11.28,1,90.15,1.76
129972,2160,6452302.122,1873712.81,126.16,51.31,-11.86,1,89.97,1.75
129973,2161,6452300.048,1873708.22,126.16,49.46,-13.97,1,90.1,1.82
129974,2162,6452298.141,1873704.019,126.16,46.59,0.0,1,90.52,1.94
129975,2163,6452296.14,1873700.229,126.16,46.05,14.04,1,91.25,1.98
129976,2164,6452293.94,1873696.266,126.16,47.7,12.88,1,91.72,1.92
129977,2165,6452291.487,1873692.131,126.16,49.98,10.85,1,92.04,1.84
129978,2166,6452288.832,1873687.343,126.16,51.36,4.16,1,92.2,1.8
129979,2167,6452286.402,1873682.728,126.16,51.33,-7.62,1,92.13,1.79
129980,2168,6452284.12,1873678.134,126.16,51.32,-4.38,1,92.14,1.8
129981,2169,6452281.791,1873673.52,126.16,50.57,-10.79,1,91.99,1.82
129982,2170,6452279.463,1873668.908,126.16,48.15,0.0,1,92.05,1.91
129983,2171,6452277.136,1873664.298,126.16,46.4,0.0,1,92.05,1.98
129984,2172,6452274.809,1873659.689,126.16,46.11,13.23,1,92.34,2.0
129985,2173,6452272.426,1873655.051,126.16,47.05,10.0,1,92.57,1.97
129986,2174,6452270.372,1873650.476,126.16,48.34,-10.23,1,92.7,1.92
129987,2175,6452268.471,1873646.018,126.16,48.38,-12.13,1,92.56,1.91
129988,2176,6452266.838,1873641.622,126.16,48.09,2.14,1,92.64,1.93
129989,2177,6452265.087,1873637.201,126.16,48.54,12.27,1,92.63,1.91
129990,2178,6452263.214,1873632.68,126.16,49.18,10.54,1,92.37,1.88
129991,2179,6452261.015,1873628.1,126.16,49.44,2.33,1,91.91,1.86
129992,2180,6452258.967,1873623.565,126.16,49.2,-5.76,1,91.42,1.86
129993,2181,6452257.009,1873619.128,126.16,48.83,-3.55,1,91.04,1.86
129994,2182,6452255.04,1873614.745,126.16,48.73,1.6,1,90.71,1.86
129995,2183,6452253.081,1873610.276,126.16,48.83,1.6,1,90.27,1.85
129996,2184,6452251.059,1873605.761,126.16,48.75,-2.64,1,89.65,1.84
129997,2185,6452249.051,1873601.28,126.16,48.38,-5.75,1,88.93,1.84
129998,2186,6452247.131,1873596.908,126.16,47.89,-4.92,1,88.28,1.84
129999,2187,6452245.191,1873592.595,126.16,47.65,-0.49,1,88.41,1.86
130000,2188,6452243.244,1873588.264,126.16,47.46,-4.17,1,88.83,1.87
130001,2189,6452241.282,1873583.96,126.16,47.07,-8.74,1,89.64,1.9
130002,2190,6452239.415,1873579.362,126.16,47.05,-6.91,1,90.31,1.92
130003,2191,6452237.709,1873574.637,126.16,47.38,6.79,1,90.7,1.91
130004,2192,6452236.121,1873569.804,126.16,47.75,9.97,1,90.45,1.89
130005,2193,6452234.403,1873565.221,126.16,47.87,9.9,1,89.88,1.88
130006,2194,6452232.552,1873560.806,126.16,47.39,-7.27,1,89.24,1.88
130007,2195,6452230.644,1873556.654,126.16,46.73,-4.06,1,88.57,1.9
130008,2196,6452228.883,1873552.299,126.16,46.29,-3.45,1,87.8,1.9
130009,2197,6452227.139,1873547.986,126.16,45.77,-6.21,1,87.07,1.9
130010,2198,6452225.288,1873543.818,126.16,45.02,-9.27,1,86.47,1.92
130011,2199,6452223.438,1873539.774,126.16,44.23,-7.83,1,85.94,1.94
130012,2200,6452221.665,1873535.801,126.16,43.75,-5.06,1,85.41,1.95
130013,2201,6452220.053,1873531.813,126.16,43.69,1.83,1,84.86,1.94
130014,2202,6452218.411,1873527.755,126.16,43.82,4.59,1,84.3,1.92
130015,2203,6452216.604,1873523.694,126.16,43.77,3.15,1,83.73,1.91
130016,2204,6452214.794,1873519.672,126.16,43.34,-7.04,1,83.19,1.92
130017,2205,6452213.012,1873515.751,126.16,45.26,11.64,1,82.82,1.83
130018,2206,6452211.298,1873511.917,126.16,50.58,11.26,1,82.0,1.62
130019,2207,6452209.569,1873508.169,126.16,51.54,0.0,1,81.13,1.57
130020,2208,6452207.776,1873504.549,126.16,51.41,-15.84,1,80.21,1.56
