,Frame_ID,Global_X,Global_Y,v_size,v_Vel,v_Acc,Movement,Space_Headway,Time_Headway
5076,91,6451956.302,1872809.755,98.8,0.0,0.0,1,0.0,0.0
5077,92,6451956.302,1872809.755,98.8,0.0,0.0,1,0.0,0.0
5078,93,6451956.302,1872809.755,98.8,0.0,0.0,1,0.0,0.0
5079,94,6451956.302,1872809.755,98.8,0.0,0.0,1,0.0,0.0
5080,95,6451956.302,1872809.755,98.8,0.0,0.0,1,0.0,0.0
5081,96,6451956.302,1872809.755,98.8,0.0,0.0,1,0.0,0.0
5082,97,6451956.302,1872809.755,98.8,0.0,0.0,1,0.0,0.0
5083,98,6451956.302,1872809.755,98.8,0.0,0.0,1,0.0,0.0
5084,99,6451956.302,1872809.755,98.8,0.0,0.0,1,0.0,0.0
5085,100,6451956.302,1872809.755,98.8,0.0,0.0,1,0.0,0.0
5086,101,6451956.302,1872809.755,98.8,0.0,0.0,1,0.0,0.0
5087,102,6451956.302,1872809.755,98.8,0.0,0.0,1,0.0,0.0
5088,103,6451956.302,1872809.755,98.8,0.0,0.0,1,0.0,0.0
5089,104,6451956.302,1872809.755,98.8,0.0,0.0,1,0.0,0.0
5090,105,6451956.302,1872809.755,98.8,0.0,0.0,1,0.0,0.0
5091,106,6451956.302,1872809.755,98.8,0.0,0.0,1,0.0,0.0
5092,107,6451956.302,1872809.755,98.8,0.0,0.0,1,0.0,0.0
5093,108,6451956.302,1872809.755,98.8,0.0,0.0,1,0.0,0.0
5094,109,6451956.302,1872809.755,98.8,0.0,0.0,1,0.0,0.0
5095,110,6451956.302,1872809.755,98.8,0.0,0.0,1,0.0,0.0
5096,111,6451956.302,1872809.755,98.8,0.0,0.0,1,0.0,0.0
5097,112,6451956.302,1872809.755,98.8,0.0,0.0,1,0.0,0.0
5098,113,6451956.302,1872809.755,98.8,0.0,0.0,1,0.0,0.0
5099,114,6451956.302,1872809.755,98.8,0.0,0.0,1,0.0,0.0
5100,115,6451956.302,1872809.755,98.8,0.0,0.0,1,0.0,0.0
5101,116,6451956.302,1872809.755,98.8,0.0,0.0,1,0.0,0.0
5102,117,6451956.302,1872809.755,98.8,0.0,0.0,1,0.0,0.0
5103,118,6451956.302,1872809.755,98.8,0.0,0.0,1,0.0,0.0
5104,119,6451956.302,1872809.755,98.8,0.0,0.0,1,0.0,0.0
5105,120,6451956.302,1872809.755,98.8,0.0,0.0,1,0.0,0.0
5106,121,6451956.302,1872809.755,98.8,0.0,0.0,1,0.0,0.0
5107,122,6451956.302,1872809.755,98.8,0.0,0.0,1,0.0,0.0
5108,123,6451956.302,1872809.755,98.8,0.0,0.0,1,0.0,0.0
5109,124,6451956.302,1872809.755,98.8,0.0,0.0,1,0.0,0.0
5110,125,6451956.302,1872809.755,98.8,0.0,0.0,1,0.0,0.0
5111,126,6451956.302,1872809.755,98.8,0.0,0.0,1,0.0,0.0
5112,127,6451956.302,1872809.755,98.8,0.0,0.0,1,0.0,0.0
5113,128,6451956.302,1872809.755,98.8,0.0,0.0,1,0.0,0.0
5114,129,6451956.302,1872809.755,98.8,0.0,0.0,1,0.0,0.0
5115,130,6451956.302,1872809.755,98.8,0.0,0.0,1,0.0,0.0
5116,131,6451956.302,1872809.755,98.8,0.0,0.0,1,0.0,0.0
5117,132,6451956.302,1872809.755,98.8,0.0,0.0,1,0.0,0.0
5118,133,6451956.302,1872809.755,98.8,0.0,0.0,1,0.0,0.0
5119,134,6451956.302,1872809.755,98.8,0.0,0.0,1,0.0,0.0
5120,135,6451956.302,1872809.755,98.8,0.0,0.0,1,0.0,0.0
5121,136,6451956.302,1872809.755,98.8,0.0,0.0,1,0.0,0.0
5122,137,6451956.302,1872809.755,98.8,0.0,0.08,1,0.0,0.0
5123,138,6451956.302,1872809.755,98.8,0.0,0.15,1,0.0,0.0
5124,139,6451956.302,1872809.755,98.8,0.0,-0.34,1,0.0,0.0
5125,140,6451956.309,1872809.746,98.8,0.15,2.27,1,0.0,0.0
5126,141,6451956.31,1872809.746,98.8,0.49,4.65,1,0.0,0.0
5127,142,6451956.271,1872809.792,98.8,1.0,5.81,1,0.0,0.0
5128,143,6451956.182,1872809.899,98.8,1.5,4.67,1,0.0,0.0
5129,144,6451956.055,1872810.053,98.8,1.84,2.29,1,0.0,0.0
5130,145,6451955.92,1872810.216,98.8,2.0,0.45,1,0.0,0.0
5131,146,6451955.793,1872810.37,98.8,2.02,-0.17,1,0.0,0.0
5132,147,6451955.665,1872810.524,98.8,2.01,-0.1,1,0.0,0.0
5133,148,6451955.538,1872810.678,98.8,2.01,0.0,1,0.0,0.0
